table_id,state_code,state_name,category,type,description,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
natg-az-66,AZ,Arizona,production,Natural gas,Natural gas marketed production,Billion Btu,0,0,244,1413,2144,3289,3347,1329,933,1203,1166,919,468,132,239,219,276,253,305,258,224,197,104,138,47,89,65,62,58,1414,2193,1256,795,614,772,577,468,461,464,481,373,312,306,447,337,239,623,670,537,727,186,171,119,74,109,99,49,58,44,68,68
natg-ca-69,CA,California,production,Natural gas,Natural gas marketed production,Billion Btu,589797,633908,643001,736753,756771,752592,785895,776178,814712,772313,739752,700742,562118,507417,419434,365492,400468,353833,352356,282321,342543,415048,432864,463728,527247,546252,511561,469061,444625,404886,401448,414390,402577,352853,340415,308580,320843,314186,350247,411088,391339,408873,394973,373822,356787,354384,351706,343379,331830,310439,320668,280255,278232,287883,271757,271086,234094,240221,228906,220789,192081
natg-co-84,CO,Colorado,production,Natural gas,Natural gas marketed production,Billion Btu,110902,111664,105142,109148,118035,130497,141118,120663,125379,122622,109250,113801,121978,141598,151838,174952,190558,195115,185085,198668,215548,224048,237426,187117,194074,200922,183339,183511,213369,242577,267816,321863,361441,437912,488620,574949,622078,689043,743318,768679,801801,873450,995996,1078307,1149273,1219801,1295490,1336499,1493824,1620932,1730439,1822749,1895207,1799439,1848761,1965188,1981005,2028824,2217310,2394039,2423537
natg-ct-97,CT,Connecticut,production,Natural gas,Natural gas marketed production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natg-dc-78,DC,District of Columbia,production,Natural gas,Natural gas marketed production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natg-de-60,DE,Delaware,production,Natural gas,Natural gas marketed production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natg-fl-66,FL,Florida,production,Natural gas,Natural gas marketed production,Billion Btu,40,39,39,47,54,144,285,165,145,67,0,1215,19410,39625,45258,59682,65109,69793,78144,77538,69397,55367,40791,35030,24004,20159,16935,15061,13834,13738,11575,8284,11162,11549,10742,9237,8758,8735,8338,8565,8911,7855,4893,4543,4374,3637,3501,2071,2545,263,12645,15352,785,297,858,1162,1062,1048,1123,1295,1037
natg-ga-93,GA,Georgia,production,Natural gas,Natural gas marketed production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natg-hi-97,HI,Hawaii,production,Natural gas,Natural gas marketed production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natg-ia-57,IA,Iowa,production,Natural gas,Natural gas marketed production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natg-id-103,ID,Idaho,production,Natural gas,Natural gas marketed production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,5208,4192,2113,1139,112
natg-il-92,IL,Illinois,production,Natural gas,Natural gas marketed production,Billion Btu,21035,17977,19203,17056,14185,13336,13037,9275,7898,6852,8745,926,2226,3008,2622,2600,2823,1816,2050,2926,3043,2454,2155,1874,2828,2477,3463,2554,1475,1657,844,662,534,504,485,481,414,563,326,289,263,239,250,244,242,234,236,1479,1266,1503,2191,3600,2148,2933,2044,2210,2317,2260,2596,2279,1951
